concept_id	conc_id	conc_name	orthographic	ipa	tokens	language_id	glottocode	source	comment
alcohol:brewed	404	ALCOHOL (FERMENTED DRINK)	chok;	ʧʰok	ʧʰ o k	KokborokTripura	tipp1239	Mery Rupini 2022	
alcohol:distilled	404	LIQUOR	arauh	a rauʔ	a + r au ʔ	KauBruReang	hala1254	Mery Rupini 2022	
alcohol:distilled	842	LIQUOR	arauh	a rauh	a + r au ʔ	KauBruReang	hala1254	Mery Rupini 2022	
alcohol:distilled	842	LIQUOR	barandi	ba ran di	b a + r a n + d i	KauBruReang	hala1254	Mery Rupini 2022	
alcohol:distilled	842	LIQUOR	jemjemma	ʧem ʧem ma	ʧ e m + ʧ e m + m a	KauBruReang	hala1254	Mery Rupini 2022	distilled
alcohol:distilled	842	LIQUOR	arak	a rak	a + r a k	KokborokDebbarma	debb1238	Mery Rupini 2022	IA loan
alcohol:distilled	842	LIQUOR	arak	a rak	a + r a k	KokborokRupini	rupi1234	Mery Rupini 2022	IA loan
alcohol:distilled	842	LIQUOR	chok	ʧʰok	ʧʰ o k	KokborokTripura	tipp1239	Mery Rupini 2022	
alcohol..from.rice	–	–	gala	ga la	g a + l a	KauBruReang	hala1254	Mery Rupini 2022	from fermented rice
alcohol..from.rice	–	–	gala	ga la	g a + l a	KauBruReang	hala1254	Mery Rupini 2022	from fermented rice
alcohol..from.rice	–	–	gala	ga la	g a + l a	KokborokTripura	tipp1239	Mery Rupini 2022	fermented rice
alcohol..from.rice	–	–	gala	ga la	g a + l a	KokborokTripura	tipp1239	Mery Rupini 2022	fermented rice
alcohol..imported	842	LIQUOR	barandi	ba ran di	b a + r a n + d i	KauBruReang	hala1254	Mery Rupini 2022	
alcohol..imported	842	LIQUOR	brandy	b ran di	b + r a n + d i	KokborokTripura	tipp1239	Mery Rupini 2022	distilled
alcohol..imported	842	LIQUOR	brandy	bran di	b r a n + d i	KokborokTripura	tipp1239	Mery Rupini 2022	distilled
alive:to.be	1422	BE ALIVE	tʰaŋnani tʰanai	tʰaŋnani tʰanai	tʰ a ŋ + n a + n i + tʰ a + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
alive:to.be	1422	BE ALIVE	kthang	k tʰaŋ	k + tʰ a ŋ	KauBruReang	hala1254	Mery Rupini 2022	
alive:to.be	1422	BE ALIVE	kuthang	ku tʰaŋ	k u + tʰ a ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	
alive:to.be	1422	BE ALIVE	kwthang	kɯ tʰaŋ	k ɯ + tʰ a ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	
alive:to.be	1422	BE ALIVE	kwthang	kɯ tʰaŋ	k ɯ + tʰ a ŋ	KokborokRupini	rupi1234	Mery Rupini 2022	
alive:to.be	1422	BE ALIVE	kathang	ka tʰaŋ	k a + tʰ a ŋ	KokborokTripura	tipp1239	Mery Rupini 2022	
all	98	ALL	pah	paʔ	p a ʔ	KauBruReang	hala1254	Mery Rupini 2022	
all	98	ALL	bebak	be bak	b e + b a k	KokborokDebbarma	debb1238	Mery Rupini 2022	
all	98	ALL	joto	ʧo to	ʧ o + t o	KokborokDebbarma	debb1238	Mery Rupini 2022	
all	98	ALL	bebak	be bak	b e + b a k	KokborokRupini	rupi1234	Mery Rupini 2022	
all	98	ALL	joto	ʧo to	ʧ o + t o	KokborokRupini	rupi1234	Mery Rupini 2022	
all	98	ALL	jatta	ʧat ta	ʧ a t + t a	KokborokTripura	tipp1239	Mery Rupini 2022	
angry:to.be	1826	ANGRY	gingsa	giŋ sa	g i ŋ + s a	KauBruReang	hala1254	Mery Rupini 2022	
angry:to.be	1826	ANGRY	joli	ʧo li	ʧ o + l i	KokborokDebbarma	debb1238	Mery Rupini 2022	
angry:to.be	1826	ANGRY	jore	ʧo re	ʧ o + r e	KokborokRupini	rupi1234	Mery Rupini 2022	
angry:to.be	1826	ANGRY	thamchi	tʰam ʧʰi	tʰ a m + ʧʰ i	KokborokTripura	tipp1239	Mery Rupini 2022	
animal..general	619	ANIMAL	dzunar	dzunar	dz u + n a r	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
animal..general	619	ANIMAL	malmata	mal ma ta	m a l + m a + t a	KauBruReang	hala1254	Mery Rupini 2022	
animal..general	619	ANIMAL	mal-mata	mal ma ta	m a l + m a + t a	KokborokDebbarma	debb1238	Mery Rupini 2022	
animal..general	619	ANIMAL	mal-mata	mal ma ta	m a l + m a + t a	KokborokRupini	rupi1234	Mery Rupini 2022	
animal..general	619	ANIMAL	mal mata	mal ma ta	m a l + m a + t a	KokborokTripura	tipp1239	Mery Rupini 2022	
answer.:respond:to	1275	ANSWER	pʰinnai	pʰinnai	pʰ i n + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
answer.:respond:to	1275	ANSWER	phirao	pʰi rao	pʰ i + r ao	KauBruReang	hala1254	Mery Rupini 2022	
answer.:respond:to	1275	ANSWER	phirok	pʰi rok	pʰ i + r o k	KokborokDebbarma	debb1238	Mery Rupini 2022	
answer.:respond:to	1275	ANSWER	phirao	pʰi rao	pʰ i + r ao	KokborokRupini	rupi1234	Mery Rupini 2022	
ant:black	–	–	mohsrom-ksom	moh s rom k som	m o ʔ + s + r o m + k + s o m	KauBruReang	hala1254	Mery Rupini 2022	
ant:black	–	–	misurum kosom	mi su ru m ko som	m i + s u + r u + m + k o + s o m	KokborokDebbarma	debb1238	Mery Rupini 2022	
ant:black	–	–	mwtswrwm kwswm	mɯt sɯ rɯm kɯ sɯm	m ɯ t + s ɯ + r ɯ m + k ɯ + s ɯ m	KokborokRupini	rupi1234	Mery Rupini 2022	
ant:black	–	–	Moisorom kusum	moi so rom ku sum	m oi + s o + r o m + k u + s u m	KokborokTripura	tipp1239	Mery Rupini 2022	
ant:red	–	–	mohsrom- khuicha	moh s rom kʰui ʧʰa	m o ʔ + s + r o m + kʰ ui + ʧʰ a	KauBruReang	hala1254	Mery Rupini 2022	
ant:red	–	–	misurum kwchak	mi su ru m kɯ ʧʰak	m i + s u + r u + m + k ɯ + ʧʰ a k	KokborokDebbarma	debb1238	Mery Rupini 2022	
ant:red	–	–	mwtswrwm kwchak	mɯt sɯ rɯm kɯ ʧʰak	m ɯ t + s ɯ + r ɯ m + k ɯ + ʧʰ a k	KokborokRupini	rupi1234	Mery Rupini 2022	
ant:red	–	–	Moisorom Kachak	moi so rom ka ʧʰak	m oi + s o + r o m + k a + ʧʰ a k	KokborokTripura	tipp1239	Mery Rupini 2022	
ant.:termite	883	TERMITE	mohsrom-kphoih.	moh s rom k pʰoih.	m o ʔ + s + r o m + k + pʰ oi h .	KauBruReang	hala1254	Mery Rupini 2022	
ant.:termite	883	TERMITE	uri	u ri	u + r i	KokborokDebbarma	debb1238	Mery Rupini 2022	
ant.:termite	883	TERMITE	urima	u ri ma	u + r i + m a	KokborokRupini	rupi1234	Mery Rupini 2022	
ant.:termite	883	TERMITE	Uri	u ri	u + r i	KokborokTripura	tipp1239	Mery Rupini 2022	
ant..general	587	ANT	kʰujuma	kʰujuma	kʰ u + j u + m a	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	This word here actually is for a big red ant native to North East.
ant..general	587	ANT	mohsrom	moʔ srom	m o ʔ + s r o m	KauBruReang	hala1254	Mery Rupini 2022	
ant..general	587	ANT	misrum	mi s rum	m i + s + r u m	KokborokDebbarma	debb1238	Mery Rupini 2022	
ant..general	587	ANT	misurum	mi su ru m	m i + s u + r u + m	KokborokDebbarma	debb1238	Mery Rupini 2022	
ant..general	587	ANT	mwtswrwm	mɯt sɯ rɯm	m ɯ t + s ɯ + r ɯ m	KokborokRupini	rupi1234	Mery Rupini 2022	
ant..general	587	ANT	Moisorom	moi so rom	m oi + s o + r o m	KokborokTripura	tipp1239	Mery Rupini 2022	
areca.nut	217	BETELNUT	kuwai	ku wai	k u + w ai	KauBruReang	hala1254	Mery Rupini 2022	
areca.nut	217	BETELNUT	kuwai	ku wai	k u + w ai	KokborokDebbarma	debb1238	Mery Rupini 2022	
areca.nut	217	BETELNUT	kuwai	ku wai	k u + w ai	KokborokRupini	rupi1234	Mery Rupini 2022	
areca.nut	217	BETELNUT	koyai	ko jai	k o + j ai	KokborokTripura	tipp1239	Mery Rupini 2022	
areca.nut	217	BETELNUT	koyai	ko jai	k o + j ai	KokborokTripura	tipp1239	Mery Rupini 2022	betel
arm::pit	1886	ARMPIT	phangkho	pʰaŋ kʰo	pʰ a ŋ + kʰ o	KauBruReang	hala1254	Mery Rupini 2022	
arm::pit	1886	ARMPIT	ketai	ke tai	k e + t ai	KokborokDebbarma	debb1238	Mery Rupini 2022	
arm::pit	1886	ARMPIT	phangkhor	pʰaŋ kʰor	pʰ a ŋ + kʰ o r	KokborokRupini	rupi1234	Mery Rupini 2022	
arm::pit	1886	ARMPIT	angkor	aŋ kor	a ŋ + k o r	KokborokTripura	tipp1239	Mery Rupini 2022	
arm.:elbow	981	ELBOW	akʰanti	akʰanti	a + kʰ a n + t i	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
arm.:elbow	981	ELBOW	yauhskung	jauh s kuŋ	j au ʔ + s + k u ŋ	KauBruReang	hala1254	Mery Rupini 2022	
arm.:elbow	981	ELBOW	yasku	jas ku	j a s + k u	KokborokDebbarma	debb1238	Mery Rupini 2022	
arm.:elbow	981	ELBOW	jasku	ʧas ku	ʧ a s + k u	KokborokRupini	rupi1234	Mery Rupini 2022	
arm.:elbow	981	ELBOW	yak kuna	jak ku na	j a k + k u + n a	KokborokTripura	tipp1239	Mery Rupini 2022	
arm.:shoulder	1482	SHOULDER	bʰapli	bʰapli	bʰ a + p l i	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
arm.:shoulder	1482	SHOULDER	baikung	bai kuŋ	b ai + k u ŋ	KauBruReang	hala1254	Mery Rupini 2022	
arm.:shoulder	1482	SHOULDER	bangora	ba ŋo ra	b a + ŋ o + r a	KokborokDebbarma	debb1238	Mery Rupini 2022	
arm.:shoulder	1482	SHOULDER	phaikong	pʰai koŋ	pʰ ai + k o ŋ	KokborokRupini	rupi1234	Mery Rupini 2022	
arm.:shoulder	1482	SHOULDER	farukung	fa ru kuŋ	f a + r u + k u ŋ	KokborokTripura	tipp1239	Mery Rupini 2022	
arrive:to	1387	ARRIVE	mənpʰibai	mənpʰibai	m ə n + pʰ i + b ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
arrive:to	1387	ARRIVE	mənhibai	mənhibai	m ə n + ʔ i + b ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	need to track this down from Dip's notes
arrive:to	1387	ARRIVE	suh-ha	suh ha	s u ʔ + h a	KauBruReang	hala1254	Mery Rupini 2022	
arrive:to	1387	ARRIVE	sokphai	sok pʰai	s o k + pʰ ai	KokborokDebbarma	debb1238	Mery Rupini 2022	
arrive:to	1387	ARRIVE	sokphai	sok pʰai	s o k + pʰ ai	KokborokRupini	rupi1234	Mery Rupini 2022	
arrive:to	1387	ARRIVE	safai	sa fai	s a + f ai	KokborokTripura	tipp1239	Mery Rupini 2022	
arrow	977	ARROW	thir	thir	t ʔ i r	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	Borrowing. in Assamese and many other indic languages it is called tir
arrow	977	ARROW	teer	tir	t i r	KauBruReang	hala1254	Mery Rupini 2022	
arrow	977	ARROW	teer	tir	t i r	KokborokDebbarma	debb1238	Mery Rupini 2022	
arrow	977	ARROW	teer	tir	t i r	KokborokRupini	rupi1234	Mery Rupini 2022	
arum	–	–	tha	tʰa	tʰ a	KauBruReang	hala1254	Mery Rupini 2022	
arum	–	–	tha	tʰa	tʰ a	KokborokDebbarma	debb1238	Mery Rupini 2022	
arum	–	–	tha	tʰa	tʰ a	KokborokRupini	rupi1234	Mery Rupini 2022	
ascend..move.upwards:to	705	GO UP (ASCEND)	ɡodzotʰaŋnai	ɡodzotʰaŋnai	ɡ o + dz o + tʰ a ŋ + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
ash	646	ASH	haŋɡar	haŋɡar	ʔ a ŋ + ɡ a r	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
ash	646	ASH	thaphla	tʰa pʰla	tʰ a + pʰ l a	KauBruReang	hala1254	Mery Rupini 2022	
ash	646	ASH	thapla	tʰa pla	tʰ a + p l a	KokborokDebbarma	debb1238	Mery Rupini 2022	
ash	646	ASH	thaphla	tʰapʰ la	tʰ a pʰ + l a	KokborokRupini	rupi1234	Mery Rupini 2022	
ash	646	ASH	thaphra	tʰapʰ ra	tʰ a pʰ + r a	KokborokRupini	rupi1234	Mery Rupini 2022	
ash	646	ASH	thapala	tʰa pa la	tʰ a + p a + l a	KokborokTripura	tipp1239	Mery Rupini 2022	
ask..question:to	1309	ASK (INQUIRE)	səŋnai	səŋnai	s ə ŋ + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
ask..question:to	1309	ASK (INQUIRE)	kobou	ko bou	k o + b ou	KauBruReang	hala1254	Mery Rupini 2022	
ask..question:to	1309	ASK (INQUIRE)	swng	sɯŋ	s ɯ ŋ	KauBruReang	hala1254	Mery Rupini 2022	
ask..question:to	1309	ASK (INQUIRE)	doh	doʔ	d o ʔ	KokborokDebbarma	debb1238	Mery Rupini 2022	
ask..question:to	1309	ASK (INQUIRE)	swng	sɯŋ	s ɯ ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	
ask..question:to	1309	ASK (INQUIRE)	doh	doʔ	d o ʔ	KokborokRupini	rupi1234	Mery Rupini 2022	
ask..question:to	1309	ASK (INQUIRE)	swng	sɯŋ	s ɯ ŋ	KokborokRupini	rupi1234	Mery Rupini 2022	
ask..question:to	1309	ASK (INQUIRE)	koi	koi	k oi	KokborokTripura	tipp1239	Mery Rupini 2022	
ask..question:to	1309	ASK (INQUIRE)	shung	ʃuŋ	ʃ u ŋ	KokborokTripura	tipp1239	Mery Rupini 2022	
awaken:to	1602	WAKE UP	sirimənai	sirimənai	s i + r i + m ə + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	to awaken
awaken:to	1602	WAKE UP	bachaha	ba ʧʰa ha	b a + ʧʰ a + h a	KauBruReang	hala1254	Mery Rupini 2022	
awaken:to	1602	WAKE UP	sichakha	si ʧʰa kʰa	s i + ʧʰ a + kʰ a	KokborokDebbarma	debb1238	Mery Rupini 2022	
awaken:to	1602	WAKE UP	sisakha	si sa kʰa	s i + s a + kʰ a	KokborokRupini	rupi1234	Mery Rupini 2022	
awaken:to	1602	WAKE UP	sicha rama	si ʧʰa ra ma	s i + ʧʰ a + r a + m a	KokborokTripura	tipp1239	Mery Rupini 2022	
axe..general	677	AXE	rua	rua	r ua	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
axe..general	677	AXE	rua	rua	r ua	KauBruReang	hala1254	Mery Rupini 2022	
axe..general	677	AXE	rua	rua	r ua	KokborokDebbarma	debb1238	Mery Rupini 2022	
axe..general	677	AXE	rua	rua	r ua	KokborokRupini	rupi1234	Mery Rupini 2022	
axe..general	677	AXE	rowa	ro wa	r o + w a	KokborokTripura	tipp1239	Mery Rupini 2022	
back..of.body	1291	BACK	pherau	pʰe rau	pʰ e + r au	KauBruReang	hala1254	Mery Rupini 2022	
back..of.body	1291	BACK	phikung	pʰi kuŋ	pʰ i + k u ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	n
back..of.body	1291	BACK	phikung	pʰi kuŋ	pʰ i + k u ŋ	KokborokRupini	rupi1234	Mery Rupini 2022	n
back..of.body	1291	BACK	ulata	u la ta	u + l a + t a	KokborokTripura	tipp1239	Mery Rupini 2022	
bad:to.be	1292	BAD	kadzri	kadzri	k a + dz r i	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
bad:to.be	1292	BAD	hamya	ham ja	h a m + j a	KauBruReang	hala1254	Mery Rupini 2022	
bad:to.be	1292	BAD	hamya	ham ja	h a m + j a	KokborokDebbarma	debb1238	Mery Rupini 2022	
bad:to.be	1292	BAD	hamja	ham ʧa	h a m + ʧ a	KokborokRupini	rupi1234	Mery Rupini 2022	
bad:to.be	1292	BAD	hamya	ham ja	h a m + j a	KokborokTripura	tipp1239	Mery Rupini 2022	
bald:to.be	1125	BALD	mkhouh kchauh	m kʰouʔ k ʧʰauʔ	m + kʰ ou ʔ + k + ʧʰ au ʔ	KauBruReang	hala1254	Mery Rupini 2022	
bald:to.be	1125	BALD	pilanda	pi lan da	p i + l a n + d a	KokborokDebbarma	debb1238	Mery Rupini 2022	
bald:to.be	1125	BALD	piranda	pi ran da	p i + r a n + d a	KokborokRupini	rupi1234	Mery Rupini 2022	
bald:to.be	1125	BALD	pilangda	pi laŋ da	p i + l a ŋ + d a	KokborokTripura	tipp1239	Mery Rupini 2022	
bamboo	1927	BAMBOO	wa	wa	w a	KauBruReang	hala1254	Mery Rupini 2022	
bamboo	1927	BAMBOO	wa	wa	w a	KokborokDebbarma	debb1238	Mery Rupini 2022	
bamboo	1927	BAMBOO	wa	wa	w a	KokborokRupini	rupi1234	Mery Rupini 2022	
bamboo	1927	BAMBOO	waa	waa	w aa	KokborokTripura	tipp1239	Mery Rupini 2022	
bamboo.shoot	2494	BAMBOO SHOOT	muiya	mui ja	m ui + j a	KauBruReang	hala1254	Mery Rupini 2022	
bamboo.shoot	2494	BAMBOO SHOOT	muiya	mui ja	m ui + j a	KokborokDebbarma	debb1238	Mery Rupini 2022	
bamboo.shoot	2494	BAMBOO SHOOT	mwija	mɯi ʧa	m ɯi + ʧ a	KokborokRupini	rupi1234	Mery Rupini 2022	
bamboo.shoot	2494	BAMBOO SHOOT	moiya	moi ja	m oi + j a	KokborokTripura	tipp1239	Mery Rupini 2022	
banana..fruit	868	BANANA	tʰalir	tʰalir	tʰ a + l i r	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
banana..fruit	868	BANANA	thailih	tʰai liʔ	tʰ ai + l i ʔ	KauBruReang	hala1254	Mery Rupini 2022	
banana..fruit	868	BANANA	thailik	tʰai lik	tʰ ai + l i k	KokborokDebbarma	debb1238	Mery Rupini 2022	
banana..fruit	868	BANANA	thailik	tʰai lik	tʰ ai + l i k	KokborokRupini	rupi1234	Mery Rupini 2022	
banana..fruit	868	BANANA	thairik	tʰai rik	tʰ ai + r i k	KokborokRupini	rupi1234	Mery Rupini 2022	
banana..fruit	868	BANANA	thaloi	tʰa loi	tʰ a + l oi	KokborokTripura	tipp1239	Mery Rupini 2022	
bat..animal	1793	BAT	badamali	badamali	b a + d a + m a + l i	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	Assamese loan
bat..animal	1793	BAT	taubauh	tau bauʔ	t au + b au ʔ	KauBruReang	hala1254	Mery Rupini 2022	
bat..animal	1793	BAT	tokbak	tok bak	t o k + b a k	KokborokDebbarma	debb1238	Mery Rupini 2022	
bat..animal	1793	BAT	taobak	tao bak	t ao + b a k	KokborokRupini	rupi1234	Mery Rupini 2022	
bat..animal	1793	BAT	takbak	tak bak	t a k + b a k	KokborokTripura	tipp1239	Mery Rupini 2022	
bear..animal	1820	BEAR	mupʰur	mupʰur	m u + pʰ u r	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
bear..animal	1820	BEAR	gong	goŋ	g o ŋ	KauBruReang	hala1254	Mery Rupini 2022	
bear..animal	1820	BEAR	gong	goŋ	g o ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	
bear..animal	1820	BEAR	gong	goŋ	g o ŋ	KokborokRupini	rupi1234	Mery Rupini 2022	
bear..animal	1820	BEAR	harung miphokma	ha ruŋ mi pʰok ma	h a + r u ŋ + m i + pʰ o k + m a	KokborokTripura	tipp1239	Mery Rupini 2022	
beard	678	BEARD	khosaih	kʰo saiʔ	kʰ o + s ai ʔ	KauBruReang	hala1254	Mery Rupini 2022	
beard	678	BEARD	khochai	kʰo ʧʰai	kʰ o + ʧʰ ai	KokborokDebbarma	debb1238	Mery Rupini 2022	
beard	678	BEARD	khobsai	kʰob sai	kʰ o b + s ai	KokborokRupini	rupi1234	Mery Rupini 2022	
